Start Date,Start Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Stop Date,Stop Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Trip_Duration_mins,Trip_Duration_secs,Bike ID,User Type,Birth Year,Gender
2015-10-01,07:08,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,07:10,3183,Exchange Place,40.7162469,-74.0334588,2,121,24558,Subscriber,1984,1
2015-10-01,07:10,3187,Warren St,40.721123600000006,-74.03805095,2015-10-01,07:15,3184,Paulus Hook,40.7141454,-74.0335519,5,293,24676,Subscriber,1986,1
2015-10-01,07:11,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,07:14,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3,191,24483,Subscriber,1972,2
2015-10-01,07:13,3197,North St,40.752559000000005,-74.044725,2015-10-01,07:25,3202,Newport PATH,40.7272235,-74.03375890000001,13,770,24478,Subscriber,1981,1
2015-10-01,07:14,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,07:19,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,268,24401,Subscriber,1979,1
2015-10-01,07:16,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,07:30,3199,Newport Pkwy,40.7287448,-74.03210820000001,13,792,24437,Subscriber,1989,2
2015-10-01,07:18,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,07:26,3195,Sip Ave,40.730742625306576,-74.06378388404845,8,487,24615,Subscriber,1959,2
2015-10-01,07:22,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,07:27,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,300,24709,Subscriber,1970,2
2015-10-01,07:22,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,07:27,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,306,24396,Subscriber,1966,1
2015-10-01,07:22,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,07:28,3202,Newport PATH,40.7272235,-74.03375890000001,6,386,24666,Subscriber,1970,1
2015-10-01,07:26,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2015-10-01,07:30,3205,JC Medical Center,40.71653978099194,-74.0496379137039,5,287,24723,Subscriber,1981,2
2015-10-01,07:26,3210,Pershing Field,40.742677141,-74.051788633,2015-10-01,07:31,3220,5 Corners Library,40.73496102000952,-74.05950307846071,5,309,24645,Subscriber,1985,2
2015-10-01,07:26,3187,Warren St,40.721123600000006,-74.03805095,2015-10-01,07:30,3183,Exchange Place,40.7162469,-74.0334588,4,230,24582,Subscriber,1988,2
2015-10-01,07:26,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,07:30,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3,187,24705,Subscriber,1975,2
2015-10-01,07:27,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,07:32,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,304,24429,Subscriber,1981,2
2015-10-01,07:28,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,07:29,3184,Paulus Hook,40.7141454,-74.0335519,2,93,24540,Subscriber,1982,1
2015-10-01,07:28,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,07:35,3184,Paulus Hook,40.7141454,-74.0335519,6,387,24450,Subscriber,1981,1
2015-10-01,07:30,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,07:32,3183,Exchange Place,40.7162469,-74.0334588,3,167,24699,Subscriber,1983,1
2015-10-01,07:31,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,07:35,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,244,24469,Subscriber,1969,1
2015-10-01,07:33,3211,Newark Ave,40.72152515,-74.046304543,2015-10-01,07:34,3211,Newark Ave,40.72152515,-74.046304543,1,88,24567,Subscriber,1983,2
2015-10-01,07:33,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,07:35,3183,Exchange Place,40.7162469,-74.0334588,3,151,24547,Subscriber,1981,2
2015-10-01,07:35,3211,Newark Ave,40.72152515,-74.046304543,2015-10-01,07:41,3184,Paulus Hook,40.7141454,-74.0335519,6,367,24527,Subscriber,1985,1
2015-10-01,07:38,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2015-10-01,07:46,3202,Newport PATH,40.7272235,-74.03375890000001,8,503,24668,Subscriber,1990,1
2015-10-01,07:39,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2015-10-01,07:49,3192,Liberty Light Rail,40.7112423,-74.0557013,10,619,24429,Customer,1984,0
2015-10-01,07:40,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2015-10-01,08:24,3213,Van Vorst Park,40.71848892,-74.047726625,44,2640,24495,Subscriber,1984,1
2015-10-01,07:41,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,07:50,3186,Grove St PATH,40.71958611647166,-74.0431174635887,9,511,24437,Subscriber,1964,1
2015-10-01,07:46,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,07:53,3202,Newport PATH,40.7272235,-74.03375890000001,7,409,24700,Subscriber,1961,1
2015-10-01,07:47,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,07:58,3211,Newark Ave,40.72152515,-74.046304543,11,651,24535,Subscriber,1980,2
2015-10-01,07:47,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2015-10-01,07:54,3195,Sip Ave,40.730742625306576,-74.06378388404845,7,411,24610,Customer,1984,0
2015-10-01,07:48,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,07:52,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,249,24597,Subscriber,1975,1
2015-10-01,07:48,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,07:55,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,369,24443,Subscriber,1985,1
2015-10-01,07:49,3184,Paulus Hook,40.7141454,-74.0335519,2015-10-01,07:52,3183,Exchange Place,40.7162469,-74.0334588,2,139,24448,Subscriber,1974,2
2015-10-01,07:50,3210,Pershing Field,40.742677141,-74.051788633,2015-10-01,07:59,3195,Sip Ave,40.730742625306576,-74.06378388404845,9,538,24492,Subscriber,1961,1
2015-10-01,07:50,3211,Newark Ave,40.72152515,-74.046304543,2015-10-01,07:52,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2,121,24567,Subscriber,1982,1
2015-10-01,07:50,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,07:56,3195,Sip Ave,40.730742625306576,-74.06378388404845,5,324,24498,Customer,1984,0
2015-10-01,07:51,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,07:57,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,354,24490,Subscriber,1982,1
2015-10-01,07:52,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,07:55,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,231,24633,Subscriber,1978,1
2015-10-01,07:53,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:00,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,380,24659,Subscriber,1982,1
2015-10-01,07:54,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:01,3186,Grove St PATH,40.71958611647166,-74.0431174635887,7,400,24625,Subscriber,1982,2
2015-10-01,07:56,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,08:01,3195,Sip Ave,40.730742625306576,-74.06378388404845,5,281,24510,Subscriber,1977,1
2015-10-01,07:56,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,08:04,3195,Sip Ave,40.730742625306576,-74.06378388404845,7,444,24679,Customer,1984,0
2015-10-01,07:57,3202,Newport PATH,40.7272235,-74.03375890000001,2015-10-01,08:02,3203,Hamilton Park,40.727595966,-74.044247311,5,277,24700,Subscriber,1980,1
2015-10-01,07:59,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:01,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2,141,19086,Subscriber,1965,1
2015-10-01,08:00,3187,Warren St,40.721123600000006,-74.03805095,2015-10-01,08:05,3184,Paulus Hook,40.7141454,-74.0335519,5,313,24683,Subscriber,1982,1
2015-10-01,08:00,3187,Warren St,40.721123600000006,-74.03805095,2015-10-01,08:04,3183,Exchange Place,40.7162469,-74.0334588,4,228,24669,Subscriber,1974,1
2015-10-01,08:01,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,08:06,3195,Sip Ave,40.730742625306576,-74.06378388404845,5,319,24379,Subscriber,1970,1
2015-10-01,08:02,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:08,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,379,24556,Subscriber,1977,2
2015-10-01,08:02,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:08,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,375,24562,Subscriber,1980,1
2015-10-01,08:02,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:06,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,248,24532,Subscriber,1970,1
2015-10-01,08:04,3183,Exchange Place,40.7162469,-74.0334588,2015-10-01,08:06,3184,Paulus Hook,40.7141454,-74.0335519,2,94,24590,Subscriber,1963,2
2015-10-01,08:04,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:10,3187,Warren St,40.721123600000006,-74.03805095,6,380,24497,Subscriber,1974,1
2015-10-01,08:06,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:14,3184,Paulus Hook,40.7141454,-74.0335519,8,464,24704,Subscriber,1963,1
2015-10-01,08:06,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,08:16,3211,Newark Ave,40.72152515,-74.046304543,10,571,24579,Subscriber,1978,2
2015-10-01,08:07,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:13,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,373,24681,Subscriber,1978,1
2015-10-01,08:07,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2015-10-01,08:16,3195,Sip Ave,40.730742625306576,-74.06378388404845,8,504,24399,Subscriber,1990,1
2015-10-01,08:08,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:14,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,369,24444,Subscriber,1971,2
2015-10-01,08:08,3216,Columbia Park,40.6970299,-74.09693659999999,2015-10-01,08:35,3195,Sip Ave,40.730742625306576,-74.06378388404845,27,1596,24587,Subscriber,1963,1
2015-10-01,08:08,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:12,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,212,24557,Subscriber,1970,2
2015-10-01,08:09,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:14,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,297,24506,Subscriber,1989,1
2015-10-01,08:10,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:22,3203,Hamilton Park,40.727595966,-74.044247311,12,731,24572,Subscriber,1977,2
2015-10-01,08:12,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,08:19,3195,Sip Ave,40.730742625306576,-74.06378388404845,7,405,24620,Subscriber,1984,1
2015-10-01,08:12,3187,Warren St,40.721123600000006,-74.03805095,2015-10-01,08:17,3183,Exchange Place,40.7162469,-74.0334588,5,273,24414,Subscriber,1976,1
2015-10-01,08:13,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2015-10-01,08:26,3195,Sip Ave,40.730742625306576,-74.06378388404845,13,762,24628,Subscriber,1994,1
2015-10-01,08:14,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:18,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,280,24402,Subscriber,1981,2
2015-10-01,08:14,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2015-10-01,08:24,3186,Grove St PATH,40.71958611647166,-74.0431174635887,10,588,24434,Subscriber,1984,2
2015-10-01,08:15,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:17,3202,Newport PATH,40.7272235,-74.03375890000001,2,108,24571,Subscriber,1980,1
2015-10-01,08:17,3183,Exchange Place,40.7162469,-74.0334588,2015-10-01,08:29,3209,Brunswick St,40.7241765,-74.05065640000001,12,718,24639,Subscriber,1970,1
2015-10-01,08:17,3212,Christ Hospital,40.734785818,-74.050443636,2015-10-01,08:28,3195,Sip Ave,40.730742625306576,-74.06378388404845,11,651,24481,Subscriber,1979,1
2015-10-01,08:17,3202,Newport PATH,40.7272235,-74.03375890000001,2015-10-01,08:25,3184,Paulus Hook,40.7141454,-74.0335519,8,470,24606,Subscriber,1975,1
2015-10-01,08:17,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:21,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,242,24419,Subscriber,1980,1
2015-10-01,08:17,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:25,3184,Paulus Hook,40.7141454,-74.0335519,8,495,24662,Subscriber,1976,1
2015-10-01,08:17,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2015-10-01,08:30,3186,Grove St PATH,40.71958611647166,-74.0431174635887,13,786,24647,Subscriber,1989,1
2015-10-01,08:18,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2015-10-01,08:29,3195,Sip Ave,40.730742625306576,-74.06378388404845,11,636,24602,Customer,1984,0
2015-10-01,08:18,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:30,3183,Exchange Place,40.7162469,-74.0334588,11,684,24508,Subscriber,1980,1
2015-10-01,08:19,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:31,3184,Paulus Hook,40.7141454,-74.0335519,13,753,24593,Subscriber,1977,2
